job_index,strategy,n_bins,min_support,final_score,view_weighted_score,score_delta,n_selected_features,selected_features,cluster_sizes,alpha,mu_param,gamma,beta,status,error_message
0,uniform,3,1.0,0.4068583846092224,,0.0,0,,[],,,,,baseline_no_features,
1,uniform,3,0.95,0.4068583846092224,,0.0,0,,[],,,,,baseline_no_features,
2,uniform,3,0.9,0.4068583846092224,,0.0,0,,[],,,,,baseline_no_features,
3,uniform,3,0.85,0.4068583846092224,,0.0,0,,[],,,,,baseline_no_features,
4,uniform,3,0.8,0.4068583846092224,,0.0,0,,[],,,,,baseline_no_features,
5,uniform,3,0.75,0.4068583846092224,,0.0,0,,[],,,,,baseline_no_features,
6,uniform,3,0.7,0.5213918089866638,0.7698502540588379,0.1145334243774414,4,"fused_9_medium, fused_6_low, fused_10_low, fused_5_low","[269, 217, 811, 203, 299]",0.1,0.9,0.9,3.0,ok,
7,uniform,3,0.65,0.5342099070549011,0.6653369665145874,0.1273515224456787,5,"fused_9_medium, fused_10_low, fused_5_low+fused_6_low, fused_4_high, fused_11_high","[180, 258, 811, 346, 204]",0.1,0.9,0.9,5.0,ok,
8,uniform,3,0.6,0.45313870906829834,0.5479235053062439,0.04628032445907593,5,"fused_9_medium, fused_10_low+fused_4_high, fused_1_medium, fused_11_high+fused_5_low+fused_6_low, fused_8_medium","[258, 266, 682, 358, 235]",0.1,0.8,0.7,2.0,ok,
9,uniform,3,0.55,0.49548086524009705,0.5416161417961121,0.08862248063087463,11,"fused_10_low+fused_4_high, fused_11_high+fused_5_low+fused_6_low, fused_8_medium, fused_7_medium, fused_1_medium+fused_6_low, fused_10_low+fused_9_medium, fused_5_low+fused_6_low+fused_9_medium, fused_2_high, fused_1_medium+fused_5_low, fused_10_low+fused_6_low, fused_11_high+fused_6_low+fused_9_medium","[276, 237, 292, 228, 766]",0.1,0.7,0.9,2.0,ok,
10,uniform,3,0.5,0.4988557696342468,0.5271894931793213,0.09199738502502441,12,"fused_8_medium, fused_7_medium, fused_2_high, fused_11_high+fused_5_low+fused_6_low+fused_9_medium, fused_11_high+fused_1_medium+fused_5_low+fused_6_low, fused_3_low, fused_10_low+fused_5_low+fused_6_low, fused_10_low+fused_4_high+fused_9_medium, fused_10_low+fused_11_high+fused_6_low, fused_4_high+fused_6_low, fused_1_medium+fused_5_low+fused_9_medium, fused_1_medium+fused_6_low+fused_9_medium","[282, 597, 329, 295, 296]",0.1,0.8,0.9,2.0,ok,
